px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
99.0134	17.4016	1.30466	-1.10008	-0.418422	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0
99.0427	17.4561	1.33078	-0.802477	-0.0353229	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	1.30781
99.9981	16.9481	1.16424	-0.421279	0.263536	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0
100.055	16.9667	1.15369	-0.396185	0.245911	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.94599
101.159	16.5538	1.33539	-0.257867	0.168371	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0
101.134	16.5411	1.24968	-0.350257	0.0442622	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.42801
102.348	16.3956	1.36399	0.0131286	0.264853	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0
102.264	16.3836	1.21294	-0.0574367	0.189852	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.66377
103.061	15.4181	1.02502	-1.23582	-0.719499	103.003	15.353	103.119	15.4967	1.11708	-0.508169	0
103.011	15.5362	1.04447	-0.788967	-0.124148	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	4.89691
104.061	15.2302	1.06443	-0.0731934	0.48821	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	0
104.042	15.2097	1.12171	-0.0956836	0.480571	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0.772655
105.448	14.4942	1.51723	-0.973253	-0.447445	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	0
105.415	14.5607	1.55132	-0.713147	-0.120991	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	1.29373
106.801	14.0197	1.52104	-0.212996	0.357037	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0
106.749	14.0069	1.50571	-0.254376	0.328365	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.02729
108.074	13.6706	1.56083	-0.141208	0.173423	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0
108.086	13.6734	1.58077	-0.132548	0.184786	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.038152
109.522	13.5726	1.6293	0.022547	0.164748	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0
109.484	13.566	1.56964	0.00729454	0.147154	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.377882
111.045	12.6245	1.65412	-0.981046	-0.650034	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	0
111.131	12.744	1.81203	-0.609374	-0.107747	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	4.41162
112.889	12.447	1.72086	0.0733415	0.518606	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	0
112.888	12.4397	1.75132	0.0663262	0.511906	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.0938169
114.732	12.5434	1.99952	0.147347	0.169341	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0
114.746	12.5418	1.96246	0.138781	0.155529	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.384394
116.67	12.1227	1.99107	-0.38788	-0.334509	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	0
116.721	12.1641	2.12641	-0.278425	-0.155259	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	1.07474
118.896	11.9994	2.28978	0.0576848	0.240668	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0
118.886	12.0033	2.24761	0.0570333	0.238343	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.0847383
120.722	12.298	2.14666	0.275503	0.228973	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0
120.761	12.2989	2.19943	0.270132	0.217845	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.397275
123.383	12.7751	2.84561	0.0627881	-0.161753	123.568	12.8297	122.95	12.5114	2.29835	0.246599	0
123.312	12.7525	2.65	0.0515425	-0.188331	123.142	12.7694	122.95	12.5114	2.29835	0.246599	1.6159
125.007	12.7703	2.20384	-0.116954	-0.207173	124.894	12.7743	125.242	12.8125	2.37624	0.369827	0
125.102	12.7949	2.41267	-0.0656159	-0.118413	125.376	12.9964	125.242	12.8125	2.37624	0.369827	2.38849
127.768	13.3157	2.70391	0.439775	0.381943	127.853	13.3273	127.609	13.2365	2.44434	0.495787	0
127.724	13.3029	2.69022	0.416901	0.347485	127.506	13.153	127.609	13.2365	2.44434	0.495787	0.730602
129.987	13.7405	2.42406	0.219168	-0.0404952	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0
130.046	13.7417	2.46409	0.189938	-0.070519	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.1292
132.105	14.4998	2.43423	0.407406	0.150089	132.092	14.507	132.53	14.458	2.55028	0.74543	0
132.179	14.4923	2.58187	0.353719	0.0507231	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.41052
134.952	15.0178	3.00798	0.0246154	-0.276996	135.074	15.0475	135.066	15.2513	2.58865	0.863795	0
134.949	14.9977	2.89096	-0.0107134	-0.337478	135.127	14.6575	135.066	15.2513	2.58865	0.863795	1.00697
137.594	16.1795	2.73519	0.674762	0.43075	137.561	16.2147	137.639	16.1592	2.61821	0.974442	0
137.63	16.1272	2.91606	0.525451	0.140061	137.653	16.5145	137.639	16.1592	2.61821	0.974442	1.61034
140.305	17.0142	2.93379	0.180178	-0.272031	140.331	17.008	140.242	17.1733	2.63994	1.07503	0
140.315	17.0146	2.93568	0.176091	-0.276171	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0540482
142.892	17.9766	2.93662	0.421445	0.130953	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0
142.856	17.9656	2.94154	0.393835	0.0842874	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.597511
145.37	19.1527	3.03056	0.47065	0.0699164	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0
145.447	19.1582	3.1026	0.444339	0.0376468	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.83917
148.201	20.456	3.29581	0.404807	-0.0391399	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0
148.17	20.4605	3.17894	0.469157	0.0900281	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.72984
150.67	22.1035	3.25808	0.648406	0.155724	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0
150.675	22.0959	3.29278	0.60774	0.0700982	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.18043
153.412	23.4962	3.26944	0.381624	-0.177659	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0
153.377	23.4894	3.15201	0.429894	-0.0790774	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.626298
156.03	24.7995	3.22751	0.443364	-0.00615368	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0
155.999	24.8085	3.09927	0.518397	0.143899	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.842548
158.851	26.0114	3.2769	0.285938	-0.176132	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0
158.867	26.0088	3.22169	0.288778	-0.155838	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.594597
161.439	27.4198	3.15113	0.565543	0.18093	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0
161.455	27.4323	3.12821	0.601872	0.252753	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.354531
163.665	28.8098	2.87562	0.638894	0.108225	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0
163.775	28.8189	2.98283	0.559436	-0.00889277	164.116	29.315	164.155	28.8064	2.64354	1.28825	2.73619
166.718	30.1611	3.39431	0.234212	-0.298173	166.828	30.2062	166.809	30.0721	2.63006	1.22694	0
166.67	30.1377	3.1855	0.264493	-0.238056	166.748	29.7121	166.809	30.0721	2.63006	1.22694	1.76008
169.152	31.3684	3.001	0.458821	0.0849132	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0
169.16	31.3726	2.98968	0.471297	0.108604	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.0827484
172.098	32.3154	3.25686	0.146051	-0.267142	172.175	32.3404	172.079	32.3873	2.58945	1.06126	0
172.09	32.2965	3.11667	0.120393	-0.309915	172.135	32.6666	172.079	32.3873	2.58945	1.06126	1.05676
174.683	33.4414	2.95809	0.519593	0.22925	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0
174.658	33.445	2.90154	0.537934	0.269761	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.198677
177.059	34.2433	2.67037	0.304411	-0.112136	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0
177.064	34.2403	2.6395	0.301764	-0.110968	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.121597
179.969	35.0963	3.27419	0.294573	-0.0120205	180.145	35.1423	179.799	35.1289	2.47883	0.732949	0
179.858	35.0881	2.97762	0.365412	0.118918	179.543	35.4767	179.799	35.1289	2.47883	0.732949	3.62194
182.574	35.7509	3.05521	0.176742	-0.12246	182.599	35.753	182.292	35.8114	2.42515	0.611338	0
182.469	35.7213	2.80135	0.183012	-0.128727	182.047	36.2626	182.292	35.8114	2.42515	0.611338	3.10793
184.761	36.5109	2.6957	0.355188	0.0984657	184.732	36.5155	184.73	36.37	2.36226	0.487877	0
184.732	36.5208	2.5381	0.404607	0.191717	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.964223
186.959	36.9628	2.44298	0.14914	-0.14799	186.946	36.9404	187.103	36.804	2.29017	0.365145	0
187.011	36.9692	2.48322	0.128463	-0.169823	187.296	36.9375	187.103	36.804	2.29017	0.365145	0.984249
189.418	37.3934	2.65681	0.217975	0.0419294	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0
189.426	37.402	2.52297	0.246935	0.0854876	189.738	36.951	189.401	37.1147	2.20928	0.245623	1.50732
191.731	37.5716	2.53529	0.00911887	-0.160511	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0
191.688	37.5485	2.40004	-0.0326445	-0.23818	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.740748
193.527	37.2709	2.17976	-0.268426	-0.257273	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0
193.54	37.277	2.20244	-0.254013	-0.233515	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.0452217
195.925	37.3901	2.34728	0.270801	0.382212	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	0
195.825	37.401	2.12117	0.272877	0.408441	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	2.71626
197.721	37.7436	2.10568	0.239775	0.0796951	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0
197.673	37.734	2.01667	0.250649	0.0904873	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.573
199.368	37.3351	1.70201	-0.377236	-0.43674	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	0
199.375	37.3557	1.75331	-0.321821	-0.346324	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.201912
201.431	37.0179	2.13057	-0.000989978	0.224802	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	0
201.318	37.0051	1.91413	-0.097403	0.102404	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	2.87866
202.966	36.4715	1.92719	-0.393483	-0.186357	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0
202.923	36.4406	1.82531	-0.488667	-0.337808	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.689493
204.081	36.1174	1.32271	-0.471863	-0.141721	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	0
204.091	36.1118	1.42606	-0.379967	0.0280342	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	1.8885
